(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19 _F20 _F21 _F22 _F23 _F24 _F25 _F26 _F27 _F28 _F29 _F30 _F31 _F32 _F33 _F34 _F35 _F36 _F37 _F38 _F39 _F40 _F41 _F42 _F43 _F44 _F45 _F46 _F47 _F48 _F49 _F50 _F51 _F52 _F53 _F54 _F55 _F56 _F57 _F58 _F59 _F60 _F61 _F62 _F63 _F64 _F65 _F66 _F67 _F68 _F69 _F70 _F71 _F72 _F73 _F74 _F75 _F76 _F77 _F78 _F79)
Model;bCMS;_M1
Comment;C_1_Author;_BC
Property;Cr_10000;_F0
Property;C_1284_P_92;(not _F0)
Property;C_1283_P_91;(not _F0)
Region;Cr_9999;_F0
Property;C_1282_P_90;(not _F0)
Property;C_1281_P_89;(not _F0)
Comment;Cr_9998;_F0
Class;Cr_9997;_F0
Property;Cr_9996;_F0
Class;C_1280_PSCSystem;(not _F0)
Property;C_1279_P_88;(not _F0)
Property;C_1278_P_87;(not _F0)
Property;C_1277_P_86;(not _F1)
Property;Cr_9995;_F1
Class;C_1276_FSCSystem;(not _F1)
Association;Cr_9994;_F1
Property;Cr_9993;_F1
Association;C_1275_fSCSystem_call_pSCSystem;(not _F1)
Association;Cr_9992;_F1
Association;C_1274_pSCSystem_call_fSCSystem;(not _F1)
Transition;Cr_9991;_F1
Property;Cr_9990;_F1
Property;Cr_9989;_F1
Association;Cr_9988;_F1
Transition;Cr_9987;_F2
DomainModel;C_1273_Architecture;(not _F2)
Generalization;C_1272_G_6;(not _F2)
Comment;Cr_9986;_F2
Class;C_1271_FSCSystemNoEncryption;(not _F2)
Generalization;C_1270_G_5;(not _F2)
Class;Cr_9985;_F2
Comment;Cr_9984;_F2
Class;C_1269_PSCSystemNoEncryption;(not _F2)
Association;Cr_9983;_F2
Property;Cr_9982;_F2
Generalization;C_1268_G_4;(not _F2)
Class;C_1267_FScoordinatorNoEncryption;(not _F3)
Transition;Cr_9981;_F3
Generalization;C_1266_G_3;(not _F3)
Class;C_1265_PScoordinatorNoEncryption;(not _F3)
Comment;Cr_9980;_F3
Association;Cr_9979;_F3
Property;C_1264_P_85;(not _F3)
Property;C_1263_P_84;(not _F3)
Class;C_1262_Witness;(not _F3)
Transition;Cr_9978;_F3
Comment;Cr_9977;_F3
Association;Cr_9976;_F3
Property;C_1261_P_83;(not _F4)
Transition;Cr_9975;_F4
Property;C_1260_P_82;(not _F4)
Property;Cr_9974;_F4
Region;Cr_9973;_F4
Association;Cr_9972;_F4
Association;Cr_9971;_F4
Class;C_1259_Victim;(not _F4)
Property;C_1258_P_81;(not _F4)
Association;Cr_9970;_F4
Association;Cr_9969;_F4
Class;Cr_9968;_F4
Property;C_1257_P_80;(not _F5)
Region;Cr_9967;_F5
Property;C_1256_P_79;(not _F5)
Transition;Cr_9966;_F5
Property;C_1255_P_78;(not _F5)
Transition;Cr_9965;_F5
Class;Cr_9964;_F5
Comment;Cr_9963;_F5
Association;Cr_9962;_F5
Comment;Cr_9961;_F5
Property;C_1254_P_77;(not _F5)
Association;Cr_9960;_F5
Comment;Cr_9959;_F6
Property;C_1253_P_76;(not _F6)
Property;C_1252_P_75;(not _F6)
Comment;Cr_9958;_F6
Transition;Cr_9957;_F6
Transition;Cr_9956;_F6
Comment;Cr_9955;_F6
Transition;Cr_9954;_F6
Region;Cr_9953;_F6
Association;Cr_9952;_F6
Association;Cr_9951;_F6
Association;Cr_9950;_F6
Region;Cr_9949;_F7
Property;C_1251_P_74;(not _F7)
Class;C_1250_TimeoutLog;(not _F7)
Region;Cr_9948;_F7
Region;Cr_9947;_F7
Generalization;C_1249_G_2;(not _F7)
Property;C_1248_P_73;(not _F7)
Property;C_1247_P_72;(not _F7)
Class;Cr_9946;_F7
Transition;Cr_9945;_F7
Class;C_1246_RoutePoliceCar;(not _F7)
Class;Cr_9944;_F7
Comment;Cr_9943;_F8
Property;C_1245_P_71;(not _F8)
Property;Cr_9942;_F8
Region;Cr_9941;_F8
Comment;Cr_9940;_F8
Property;C_1244_P_70;(not _F8)
Property;C_1243_P_69;(not _F8)
Property;C_1242_P_68;(not _F8)
Property;C_1241_P_67;(not _F8)
Property;C_1240_P_66;(not _F8)
Transition;Cr_9939;_F8
Property;C_1239_P_65;(not _F8)
Class;C_1238_RoutePlan;(not _F9)
Association;Cr_9938;_F9
Generalization;C_1237_G_1;(not _F9)
Class;Cr_9937;_F9
Class;Cr_9936;_F9
Property;C_1236_P_64;(not _F9)
Property;C_1235_P_63;(not _F9)
Property;Cr_9935;_F9
Class;C_1234_RouteFireTruck;(not _F9)
Property;C_1233_P_62;(not _F9)
Property;C_1232_P_61;(not _F9)
Class;C_1231_Route;(not _F9)
Property;C_1230_P_60;(not _F10)
Class;Cr_9934;_F10
Association;Cr_9933;_F10
Property;C_1229_P_59;(not _F10)
Property;C_1228_P_58;(not _F10)
Class;Cr_9932;_F10
Property;C_1227_P_57;(not _F10)
Property;C_1226_P_56;(not _F10)
Class;Cr_9931;_F10
Property;C_1225_P_55;(not _F10)
Property;C_1224_P_54;(not _F10)
Class;C_1223_PSCSystem;(not _F10)
Property;Cr_9930;_F11
Class;Cr_9929;_F11
Property;C_1222_P_53;(not _F11)
Property;C_1221_P_52;(not _F11)
Property;C_1220_P_51;(not _F11)
Class;Cr_9928;_F11
Property;Cr_9927;_F11
Region;Cr_9926;_F11
Comment;Cr_9925;_F11
Property;Cr_9924;_F11
Class;Cr_9923;_F11
Property;C_1219_P_50;(not _F11)
Association;Cr_9922;_F12
Property;C_1218_P_49;(not _F12)
Region;Cr_9921;_F12
Class;C_1217_PScoordinator;(not _F12)
Comment;Cr_9920;_F12
Property;Cr_9919;_F12
Class;Cr_9918;_F12
Transition;Cr_9917;_F12
Property;C_1216_P_48;(not _F12)
Comment;Cr_9916;_F12
Property;Cr_9915;_F12
Property;C_1215_P_47;(not _F12)
Region;Cr_9914;_F13
Property;C_1214_P_46;(not _F13)
Class;C_1213_PoliceOfficer;(not _F13)
Region;Cr_9913;_F13
Property;C_1212_P_45;(not _F13)
Property;Cr_9912;_F13
Transition;Cr_9911;_F13
Property;C_1211_P_44;(not _F13)
Association;Cr_9910;_F13
Property;C_1210_P_43;(not _F13)
Property;C_1209_P_42;(not _F13)
Comment;Cr_9909;_F13
Class;C_1208_PoliceCar;(not _F14)
Class;Cr_9908;_F14
Property;C_1207_P_41;(not _F14)
Comment;Cr_9907;_F14
Comment;Cr_9906;_F14
Property;C_1206_P_40;(not _F14)
Class;Cr_9905;_F14
Class;C_1205_GPS;(not _F14)
Region;Cr_9904;_F14
Transition;Cr_9903;_F14
Class;Cr_9902;_F14
Property;C_1204_P_39;(not _F14)
Class;C_1203_GovermentAgency;(not _F15)
Property;C_1202_P_38;(not _F15)
Class;Cr_9901;_F15
Property;C_1201_P_37;(not _F15)
Property;C_1200_P_36;(not _F15)
Comment;Cr_9900;_F15
Property;C_1199_P_35;(not _F15)
Class;Cr_9899;_F15
Property;Cr_9898;_F15
Property;C_1198_P_34;(not _F15)
Property;C_1197_P_33;(not _F15)
Class;C_1196_FSCSystem;(not _F15)
Class;Cr_9897;_F16
Property;C_1195_P_32;(not _F16)
Property;C_1194_P_31;(not _F16)
Region;Cr_9896;_F16
Property;C_1193_P_30;(not _F16)
Property;C_1192_P_29;(not _F16)
Property;C_1191_P_28;(not _F16)
Class;Cr_9895;_F16
Class;C_1190_FScoordinator;(not _F16)
Transition;Cr_9894;_F16
Property;C_1189_P_27;(not _F16)
Property;C_1188_P_26;(not _F16)
Comment;Cr_9893;_F17
Property;C_1187_P_25;(not _F17)
Association;Cr_9892;_F17
Property;C_1186_P_24;(not _F17)
Association;Cr_9891;_F17
Class;C_1185_FireTruck;(not _F17)
Property;C_1184_P_23;(not _F17)
Property;Cr_9890;_F17
Property;Cr_9889;_F17
Transition;Cr_9888;_F17
Comment;Cr_9887;_F17
Comment;Cr_9886;_F17
Association;Cr_9885;_F18
Class;Cr_9884;_F18
Property;Cr_9883;_F18
Property;C_1183_P_22;(not _F18)
Property;C_1182_P_21;(not _F18)
Class;C_1181_Fireman;(not _F18)
Property;Cr_9882;_F18
Property;C_1180_P_20;(not _F18)
Association;Cr_9881;_F18
Transition;Cr_9880;_F18
Property;C_1179_P_19;(not _F18)
Class;Cr_9879;_F18
Comment;Cr_9878;_F19
Region;Cr_9877;_F19
Property;Cr_9876;_F19
Property;C_1178_P_18;(not _F19)
Association;Cr_9875;_F19
Association;Cr_9874;_F19
Property;C_1177_P_17;(not _F19)
Comment;Cr_9873;_F19
Property;C_1176_P_16;(not _F19)
Association;Cr_9872;_F19
Property;C_1175_P_15;(not _F19)
Region;Cr_9871;_F19
Class;Cr_9870;_F20
Property;Cr_9869;_F20
Property;C_1174_P_14;(not _F20)
Transition;Cr_9868;_F20
Transition;Cr_9867;_F20
Property;C_1173_P_13;(not _F20)
Transition;Cr_9866;_F20
Transition;Cr_9865;_F20
Property;C_1172_P_12;(not _F20)
Class;C_1171_Crisis;(not _F20)
Comment;Cr_9864;_F20
Property;C_1170_P_11;(not _F20)
Region;Cr_9863;_F21
Class;Cr_9862;_F21
Property;C_1169_P_10;(not _F21)
Class;Cr_9861;_F21
Region;Cr_9860;_F21
Property;C_1168_P_9;(not _F21)
Region;Cr_9859;_F21
Class;C_1167_Credential;(not _F21)
Transition;Cr_9858;_F21
Property;C_1166_P_8;(not _F21)
Comment;Cr_9857;_F21
Comment;Cr_9856;_F21
Region;Cr_9855;_F22
Property;C_1165_P_7;(not _F22)
Property;Cr_9854;_F22
Class;C_1164_CommunicationInfrastructure;(not _F22)
Property;C_1163_P_6;(not _F22)
Class;C_1162_CommunicationCompromiser;(not _F22)
Property;C_1161_P_5;(not _F22)
Transition;Cr_9853;_F22
Comment;Cr_9852;_F22
Class;Cr_9851;_F22
Association;Cr_9850;_F22
Property;C_1160_P_4;(not _F22)
Class;Cr_9849;_F23
Association;Cr_9848;_F23
Property;C_1159_P_3;(not _F23)
Property;C_1158_P_2;(not _F23)
Property;C_1157_P_1;(not _F23)
Class;C_1156_BCMSSystem;(not _F23)
Region;Cr_9847;_F23
Region;Cr_9846;_F23
Region;Cr_9845;_F23
Association;C_1155_communicationInfrastructure_use_bCMSSystem;(not _F23)
Association;C_1154_timeoutLog_report_fScoordinator;(not _F23)
Comment;Cr_9844;_F23
Association;C_1153_timeoutLog_report_pScoordinator;(not _F24)
Class;Cr_9843;_F24
Region;Cr_9842;_F24
Comment;Cr_9841;_F24
Region;Cr_9840;_F24
Association;C_1152_bCMSSystem_regulate_govermentAgency;(not _F24)
Comment;Cr_9839;_F24
Association;C_1151_timeoutLog_register_fSCSystem;(not _F24)
Comment;Cr_9838;_F24
Region;Cr_9837;_F24
Transition;Cr_9836;_F24
Transition;Cr_9835;_F24
Comment;Cr_9834;_F25
