Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
create_PROP_in_any_CLASS,1,322,20,13,7.752668,1526,22,69.36363636363636,1.0
create_PROP_in_any_CLASS,2,643,100,13,18.49446,20912,102,205.01960784313727,1.0
create_PROP_in_any_CLASS,3,1285,20,13,32.486377,3744,22,170.1818181818182,1.0
create_PROP_in_any_CLASS,3,1285,40,13,35.442446,4776,42,113.71428571428571,1.0
create_PROP_in_any_CLASS,3,1285,60,13,36.024907,5708,62,92.06451612903226,1.0
create_PROP_in_any_CLASS,3,1285,80,13,41.415094,6382,82,77.82926829268293,1.0
create_PROP_in_any_CLASS,3,1285,100,13,48.135128,53926,102,528.6862745098039,1.0
create_PROP_in_any_CLASS,4,2569,20,13,83.896069,6725,22,305.6818181818182,1.0
create_PROP_in_any_CLASS,4,2569,40,13,95.064677,7740,42,184.28571428571428,1.0
create_PROP_in_any_CLASS,4,2569,60,13,96.101634,8723,62,140.69354838709677,1.0
create_PROP_in_any_CLASS,4,2569,80,13,102.278382,9736,82,118.73170731707317,1.0
create_PROP_in_any_CLASS,1,322,40,13,8.488568,4268,42,101.61904761904762,1.0
create_PROP_in_any_CLASS,4,2569,100,13,107.036321,10607,102,103.99019607843137,1.0
create_PROP_in_any_CLASS,1,322,60,13,8.571491,6978,62,112.54838709677419,1.0
create_PROP_in_any_CLASS,1,322,80,13,9.076605,8060,82,98.29268292682927,1.0
create_PROP_in_any_CLASS,1,322,100,13,8.872589,9929,102,97.34313725490196,1.0
create_PROP_in_any_CLASS,2,643,20,13,14.256965,2284,22,103.81818181818181,1.0
create_PROP_in_any_CLASS,2,643,40,13,14.61881,3021,42,71.92857142857143,1.0
create_PROP_in_any_CLASS,2,643,60,13,14.932112,3682,62,59.38709677419355,1.0
create_PROP_in_any_CLASS,2,643,80,13,17.458719,20227,82,246.67073170731706,1.0
create_CLASS_in_any_DOMAIN,1,322,20,13,6.998209,1378,22,62.63636363636363,1.0
create_CLASS_in_any_DOMAIN,2,643,100,13,15.421238,4633,102,45.42156862745098,1.0
create_CLASS_in_any_DOMAIN,3,1285,20,13,26.568226,3713,22,168.77272727272728,1.0
create_CLASS_in_any_DOMAIN,3,1285,40,13,30.210632,4746,42,113.0,1.0
create_CLASS_in_any_DOMAIN,3,1285,60,13,30.737159,5670,62,91.45161290322581,1.0
create_CLASS_in_any_DOMAIN,3,1285,80,13,32.318161,6350,82,77.4390243902439,1.0
create_CLASS_in_any_DOMAIN,3,1285,100,13,29.21877,7084,102,69.45098039215686,1.0
create_CLASS_in_any_DOMAIN,4,2569,20,13,72.021341,6668,22,303.09090909090907,1.0
create_CLASS_in_any_DOMAIN,4,2569,40,13,78.949289,7683,42,182.92857142857142,1.0
create_CLASS_in_any_DOMAIN,4,2569,60,13,80.012618,8663,62,139.7258064516129,1.0
create_CLASS_in_any_DOMAIN,4,2569,80,13,80.581034,9669,82,117.91463414634147,1.0
create_CLASS_in_any_DOMAIN,1,322,40,13,6.891833,2008,42,47.80952380952381,1.0
create_CLASS_in_any_DOMAIN,4,2569,100,13,90.825657,10538,102,103.31372549019608,1.0
create_CLASS_in_any_DOMAIN,1,322,60,13,7.098889,2264,62,36.516129032258064,1.0
create_CLASS_in_any_DOMAIN,1,322,80,13,7.632256,2349,82,28.646341463414632,1.0
create_CLASS_in_any_DOMAIN,1,322,100,13,7.345775,2357,102,23.107843137254903,1.0
create_CLASS_in_any_DOMAIN,2,643,20,13,14.097483,2199,22,99.95454545454545,1.0
create_CLASS_in_any_DOMAIN,2,643,40,13,14.326067,3005,42,71.54761904761905,1.0
create_CLASS_in_any_DOMAIN,2,643,60,13,14.430639,3667,62,59.145161290322584,1.0
create_CLASS_in_any_DOMAIN,2,643,80,13,17.408563,4300,82,52.4390243902439,1.0
create_TRANSITION_in_any_REGION,1,322,20,13,9.184907,1411,22,64.13636363636364,1.0
create_TRANSITION_in_any_REGION,2,643,100,13,18.933827,20555,102,201.51960784313727,1.0
create_TRANSITION_in_any_REGION,3,1285,20,13,33.079896,3713,22,168.77272727272728,1.0
create_TRANSITION_in_any_REGION,3,1285,40,13,34.091724,4752,42,113.14285714285714,1.0
create_TRANSITION_in_any_REGION,3,1285,60,13,36.700703,5670,62,91.45161290322581,1.0
create_TRANSITION_in_any_REGION,3,1285,80,13,39.945866,6383,82,77.84146341463415,1.0
create_TRANSITION_in_any_REGION,3,1285,100,13,36.838328,7132,102,69.92156862745098,1.0
create_TRANSITION_in_any_REGION,4,2569,20,13,84.347231,6668,22,303.09090909090907,1.0
create_TRANSITION_in_any_REGION,4,2569,40,13,106.321115,7683,42,182.92857142857142,1.0
create_TRANSITION_in_any_REGION,4,2569,60,13,91.963848,8682,62,140.03225806451613,1.0
create_TRANSITION_in_any_REGION,4,2569,80,13,98.456631,9700,82,118.29268292682927,1.0
create_TRANSITION_in_any_REGION,1,322,40,13,8.452312,2151,42,51.214285714285715,1.0
create_TRANSITION_in_any_REGION,4,2569,100,13,101.551882,10569,102,103.61764705882354,1.0
create_TRANSITION_in_any_REGION,1,322,60,13,9.742896,8511,62,137.2741935483871,1.0
create_TRANSITION_in_any_REGION,1,322,80,13,8.79903,8433,82,102.84146341463415,1.0
create_TRANSITION_in_any_REGION,1,322,100,13,9.326561,8998,102,88.2156862745098,1.0
create_TRANSITION_in_any_REGION,2,643,20,13,14.983696,2230,22,101.36363636363636,1.0
create_TRANSITION_in_any_REGION,2,643,40,13,15.998947,3022,42,71.95238095238095,1.0
create_TRANSITION_in_any_REGION,2,643,60,13,16.744994,3675,62,59.274193548387096,1.0
create_TRANSITION_in_any_REGION,2,643,80,13,18.189445,4348,82,53.02439024390244,1.0
create_COMMENT_in_any_DOMAIN,1,322,20,13,8.540461,1378,22,62.63636363636363,1.0
create_COMMENT_in_any_DOMAIN,2,643,100,13,17.174591,4633,102,45.42156862745098,1.0
create_COMMENT_in_any_DOMAIN,3,1285,20,13,29.493937,3713,22,168.77272727272728,1.0
create_COMMENT_in_any_DOMAIN,3,1285,40,13,28.846017,4746,42,113.0,1.0
create_COMMENT_in_any_DOMAIN,3,1285,60,13,29.649959,5670,62,91.45161290322581,1.0
