Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
modify_Class_from_Domain,1,322,20,13,6.85268,687,2,343.5,1.0
modify_Class_from_Domain,1,322,20,13,6.674872,679,2,339.5,1.0
modify_Class_from_Domain,2,643,100,13,11.257255,1451,2,725.5,1.0
modify_Class_from_Domain,2,643,100,13,11.55773,1455,2,727.5,1.0
modify_Class_from_Domain,3,1285,20,13,25.678912,2924,2,1462.0,1.0
modify_Class_from_Domain,3,1285,20,13,24.794464,2932,2,1466.0,1.0
modify_Class_from_Domain,3,1285,40,13,25.013239,2925,2,1462.5,1.0
modify_Class_from_Domain,3,1285,40,13,25.236454,2933,2,1466.5,1.0
modify_Class_from_Domain,3,1285,60,13,25.006056,2911,2,1455.5,1.0
modify_Class_from_Domain,3,1285,60,13,25.412437,2920,2,1460.0,1.0
modify_Class_from_Domain,3,1285,80,13,25.973603,2907,2,1453.5,1.0
modify_Class_from_Domain,3,1285,80,13,24.933828,2915,2,1457.5,1.0
modify_Class_from_Domain,3,1285,100,13,26.9199,2891,2,1445.5,1.0
modify_Class_from_Domain,3,1285,100,13,24.05527,2899,2,1449.5,1.0
modify_Class_from_Domain,4,2569,20,13,68.602986,5861,2,2930.5,1.0
modify_Class_from_Domain,4,2569,20,13,65.412439,5877,2,2938.5,1.0
modify_Class_from_Domain,4,2569,40,13,64.274114,5850,2,2925.0,1.0
modify_Class_from_Domain,4,2569,40,13,62.91418,5866,2,2933.0,1.0
modify_Class_from_Domain,4,2569,60,13,62.799207,5840,2,2920.0,1.0
modify_Class_from_Domain,4,2569,60,13,63.534997,5856,2,2928.0,1.0
modify_Class_from_Domain,4,2569,80,13,66.492589,5850,2,2925.0,1.0
modify_Class_from_Domain,4,2569,80,13,62.880877,5866,2,2933.0,1.0
modify_Class_from_Domain,1,322,40,13,6.465561,684,2,342.0,1.0
modify_Class_from_Domain,1,322,40,13,6.187727,680,2,340.0,1.0
modify_Class_from_Domain,4,2569,100,13,63.849325,5839,2,2919.5,1.0
modify_Class_from_Domain,4,2569,100,13,62.567589,5855,2,2927.5,1.0
modify_Class_from_Domain,1,322,60,13,6.23701,683,2,341.5,1.0
modify_Class_from_Domain,1,322,60,13,6.118271,677,2,338.5,1.0
modify_Class_from_Domain,1,322,80,13,6.677211,684,2,342.0,1.0
modify_Class_from_Domain,1,322,80,13,6.542026,678,2,339.0,1.0
modify_Class_from_Domain,1,322,100,13,6.136884,677,2,338.5,1.0
modify_Class_from_Domain,1,322,100,13,6.223934,673,2,336.5,1.0
modify_Class_from_Domain,2,643,20,13,11.600717,1464,2,732.0,1.0
modify_Class_from_Domain,2,643,20,13,11.297156,1468,2,734.0,1.0
modify_Class_from_Domain,2,643,40,13,11.321994,1460,2,730.0,1.0
modify_Class_from_Domain,2,643,40,13,11.116084,1464,2,732.0,1.0
modify_Class_from_Domain,2,643,60,13,10.891023,1462,2,731.0,1.0
modify_Class_from_Domain,2,643,60,13,10.958168,1466,2,733.0,1.0
modify_Class_from_Domain,2,643,80,13,11.254765,1451,2,725.5,1.0
modify_Class_from_Domain,2,643,80,13,10.975004,1455,2,727.5,1.0
modify_Comment_in_Model,1,322,20,13,6.863013,685,2,342.5,1.0
modify_Comment_in_Model,1,322,20,13,6.38364,685,2,342.5,1.0
modify_Comment_in_Model,2,643,100,13,11.142625,1449,2,724.5,1.0
modify_Comment_in_Model,2,643,100,13,11.202541,1449,2,724.5,1.0
modify_Comment_in_Model,3,1285,20,13,25.942863,2922,2,1461.0,1.0
modify_Comment_in_Model,3,1285,20,13,25.38833,2922,2,1461.0,1.0
modify_Comment_in_Model,3,1285,40,13,25.598172,2923,2,1461.5,1.0
modify_Comment_in_Model,3,1285,40,13,24.666555,2923,2,1461.5,1.0
modify_Comment_in_Model,3,1285,60,13,24.997645,2909,2,1454.5,1.0
modify_Comment_in_Model,3,1285,60,13,24.363448,2910,2,1455.0,1.0
modify_Comment_in_Model,3,1285,80,13,23.962646,2905,2,1452.5,1.0
modify_Comment_in_Model,3,1285,80,13,24.057704,2905,2,1452.5,1.0
modify_Comment_in_Model,3,1285,100,13,24.34799,2889,2,1444.5,1.0
modify_Comment_in_Model,3,1285,100,13,25.049477,2889,2,1444.5,1.0
modify_Comment_in_Model,4,2569,20,13,66.349276,5859,2,2929.5,1.0
modify_Comment_in_Model,4,2569,20,13,62.818396,5859,2,2929.5,1.0
modify_Comment_in_Model,4,2569,40,13,62.593703,5848,2,2924.0,1.0
modify_Comment_in_Model,4,2569,40,13,63.404114,5848,2,2924.0,1.0
modify_Comment_in_Model,4,2569,60,13,67.438075,5838,2,2919.0,1.0
modify_Comment_in_Model,4,2569,60,13,63.838499,5838,2,2919.0,1.0
modify_Comment_in_Model,4,2569,80,13,64.503328,5848,2,2924.0,1.0
modify_Comment_in_Model,4,2569,80,13,63.484704,5848,2,2924.0,1.0
modify_Comment_in_Model,1,322,40,13,6.45501,682,2,341.0,1.0
modify_Comment_in_Model,1,322,40,13,6.672606,682,2,341.0,1.0
modify_Comment_in_Model,4,2569,100,13,63.554925,5837,2,2918.5,1.0
modify_Comment_in_Model,4,2569,100,13,60.969135,5837,2,2918.5,1.0
modify_Comment_in_Model,1,322,60,13,6.404952,681,2,340.5,1.0
modify_Comment_in_Model,1,322,60,13,6.689944,681,2,340.5,1.0
modify_Comment_in_Model,1,322,80,13,6.455698,682,2,341.0,1.0
modify_Comment_in_Model,1,322,80,13,6.738157,682,2,341.0,1.0
modify_Comment_in_Model,1,322,100,13,6.573158,675,2,337.5,1.0
modify_Comment_in_Model,1,322,100,13,5.78986,675,2,337.5,1.0
modify_Comment_in_Model,2,643,20,13,10.773605,1462,2,731.0,1.0
modify_Comment_in_Model,2,643,20,13,10.200378,1462,2,731.0,1.0
modify_Comment_in_Model,2,643,40,13,11.537102,1458,2,729.0,1.0
modify_Comment_in_Model,2,643,40,13,11.084305,1458,2,729.0,1.0
modify_Comment_in_Model,2,643,60,13,11.556319,1460,2,730.0,1.0
modify_Comment_in_Model,2,643,60,13,10.685288,1460,2,730.0,1.0
modify_Comment_in_Model,2,643,80,13,10.905134,1449,2,724.5,1.0
modify_Comment_in_Model,2,643,80,13,11.171286,1449,2,724.5,1.0
move_Transition_from_Region,1,322,20,13,6.554427,687,2,343.5,1.0
move_Transition_from_Region,1,322,20,13,6.582646,722,2,361.0,1.0
move_Transition_from_Region,2,643,100,13,11.078725,1451,2,725.5,1.0
move_Transition_from_Region,2,643,100,13,11.896346,1600,2,800.0,1.0
move_Transition_from_Region,3,1285,20,13,27.061004,2924,2,1462.0,1.0
move_Transition_from_Region,3,1285,20,13,27.067815,3049,2,1524.5,1.0
move_Transition_from_Region,3,1285,40,13,25.91196,2925,2,1462.5,1.0
move_Transition_from_Region,3,1285,40,13,25.453003,3072,2,1536.0,1.0
move_Transition_from_Region,3,1285,60,13,24.703614,2911,2,1455.5,1.0
move_Transition_from_Region,3,1285,60,13,27.15627,3093,2,1546.5,1.0
move_Transition_from_Region,3,1285,80,13,24.045494,2907,2,1453.5,1.0
move_Transition_from_Region,3,1285,80,13,27.838484,3139,2,1569.5,1.0
move_Transition_from_Region,3,1285,100,13,24.700649,2891,2,1445.5,1.0
move_Transition_from_Region,3,1285,100,13,27.329566,3124,2,1562.0,1.0
move_Transition_from_Region,4,2569,20,13,65.860587,5861,2,2930.5,1.0
move_Transition_from_Region,4,2569,20,13,69.351669,6052,2,3026.0,1.0
move_Transition_from_Region,4,2569,40,13,64.049326,5850,2,2925.0,1.0
move_Transition_from_Region,4,2569,40,13,66.763948,6063,2,3031.5,1.0
move_Transition_from_Region,4,2569,60,13,65.455203,5840,2,2920.0,1.0
move_Transition_from_Region,4,2569,60,13,70.095948,6105,2,3052.5,1.0
move_Transition_from_Region,4,2569,80,13,74.100002,5850,2,2925.0,1.0
move_Transition_from_Region,4,2569,80,13,77.894922,6151,2,3075.5,1.0
move_Transition_from_Region,1,322,40,13,6.76772,684,2,342.0,1.0
move_Transition_from_Region,1,322,40,13,7.148383,746,2,373.0,1.0
move_Transition_from_Region,4,2569,100,13,62.007443,5839,2,2919.5,1.0
move_Transition_from_Region,4,2569,100,13,70.197562,6198,2,3099.0,1.0
move_Transition_from_Region,1,322,60,13,6.719974,683,2,341.5,1.0
move_Transition_from_Region,1,322,60,13,7.226677,798,2,399.0,1.0
move_Transition_from_Region,1,322,80,13,6.804546,684,2,342.0,1.0
move_Transition_from_Region,1,322,80,13,7.105454,776,2,388.0,1.0
move_Transition_from_Region,1,322,100,13,6.654671,677,2,338.5,1.0
move_Transition_from_Region,1,322,100,13,7.114869,785,2,392.5,1.0
move_Transition_from_Region,2,643,20,13,11.41407,1464,2,732.0,1.0
move_Transition_from_Region,2,643,20,13,11.400923,1543,2,771.5,1.0
move_Transition_from_Region,2,643,40,13,11.5413,1460,2,730.0,1.0
move_Transition_from_Region,2,643,40,13,11.78386,1567,2,783.5,1.0
move_Transition_from_Region,2,643,60,13,11.211368,1462,2,731.0,1.0
move_Transition_from_Region,2,643,60,13,12.442673,1587,2,793.5,1.0
move_Transition_from_Region,2,643,80,13,10.8578,1451,2,725.5,1.0
move_Transition_from_Region,2,643,80,13,12.48687,1601,2,800.5,1.0
move_Domain_from_Model,1,322,20,13,6.582488,685,2,342.5,1.0
move_Domain_from_Model,1,322,20,13,4.344938,366,2,183.0,1.0
move_Domain_from_Model,2,643,100,13,11.400749,1449,2,724.5,1.0
move_Domain_from_Model,2,643,100,13,10.901765,1449,2,724.5,1.0
move_Domain_from_Model,3,1285,20,13,25.149855,2922,2,1461.0,1.0
move_Domain_from_Model,3,1285,20,13,25.331391,2922,2,1461.0,1.0
move_Domain_from_Model,3,1285,40,13,24.000019,2923,2,1461.5,1.0
move_Domain_from_Model,3,1285,40,13,25.363681,2923,2,1461.5,1.0
move_Domain_from_Model,3,1285,60,13,24.266929,2909,2,1454.5,1.0
move_Domain_from_Model,3,1285,60,13,25.294472,2910,2,1455.0,1.0
move_Domain_from_Model,3,1285,80,13,24.595777,2905,2,1452.5,1.0
move_Domain_from_Model,3,1285,80,13,24.717616,2905,2,1452.5,1.0
move_Domain_from_Model,3,1285,100,13,25.901402,2889,2,1444.5,1.0
move_Domain_from_Model,3,1285,100,13,24.676014,2889,2,1444.5,1.0
move_Domain_from_Model,4,2569,20,13,65.364162,5859,2,2929.5,1.0
move_Domain_from_Model,4,2569,20,13,66.38877,5859,2,2929.5,1.0
move_Domain_from_Model,4,2569,40,13,63.408916,5848,2,2924.0,1.0
move_Domain_from_Model,4,2569,40,13,61.477425,5848,2,2924.0,1.0
move_Domain_from_Model,4,2569,60,13,63.207884,5838,2,2919.0,1.0
move_Domain_from_Model,4,2569,60,13,64.69252,5838,2,2919.0,1.0
move_Domain_from_Model,4,2569,80,13,63.298422,5848,2,2924.0,1.0
move_Domain_from_Model,4,2569,80,13,61.578944,5848,2,2924.0,1.0
move_Domain_from_Model,1,322,40,13,6.572093,682,2,341.0,1.0
move_Domain_from_Model,1,322,40,13,4.187711,365,2,182.5,1.0
move_Domain_from_Model,4,2569,100,13,62.070844,5837,2,2918.5,1.0
move_Domain_from_Model,4,2569,100,13,63.20112,5837,2,2918.5,1.0
move_Domain_from_Model,1,322,60,13,6.350927,681,2,340.5,1.0
move_Domain_from_Model,1,322,60,13,4.509632,398,2,199.0,1.0
move_Domain_from_Model,1,322,80,13,6.27012,682,2,341.0,1.0
move_Domain_from_Model,1,322,80,13,4.481771,399,2,199.5,1.0
move_Domain_from_Model,1,322,100,13,6.634279,675,2,337.5,1.0
move_Domain_from_Model,1,322,100,13,4.49431,405,2,202.5,1.0
move_Domain_from_Model,2,643,20,13,10.891176,1462,2,731.0,1.0
move_Domain_from_Model,2,643,20,13,10.726668,1462,2,731.0,1.0
move_Domain_from_Model,2,643,40,13,11.135488,1458,2,729.0,1.0
move_Domain_from_Model,2,643,40,13,10.557245,1458,2,729.0,1.0
move_Domain_from_Model,2,643,60,13,10.845296,1460,2,730.0,1.0
move_Domain_from_Model,2,643,60,13,10.764104,1460,2,730.0,1.0
move_Domain_from_Model,2,643,80,13,11.57598,1449,2,724.5,1.0
move_Domain_from_Model,2,643,80,13,10.989082,1449,2,724.5,1.0
move_Class_from_Domain,1,322,20,13,6.669139,687,2,343.5,1.0
move_Class_from_Domain,1,322,20,13,6.509041,679,2,339.5,1.0
move_Class_from_Domain,2,643,100,13,11.593384,1451,2,725.5,1.0
move_Class_from_Domain,2,643,100,13,10.468291,1455,2,727.5,1.0
move_Class_from_Domain,3,1285,20,13,26.447729,2924,2,1462.0,1.0
move_Class_from_Domain,3,1285,20,13,24.830563,2932,2,1466.0,1.0
move_Class_from_Domain,3,1285,40,13,24.810403,2925,2,1462.5,1.0
move_Class_from_Domain,3,1285,40,13,25.414419,2933,2,1466.5,1.0
move_Class_from_Domain,3,1285,60,13,24.420629,2911,2,1455.5,1.0
move_Class_from_Domain,3,1285,60,13,24.860804,2920,2,1460.0,1.0
move_Class_from_Domain,3,1285,80,13,24.797052,2907,2,1453.5,1.0
move_Class_from_Domain,3,1285,80,13,24.534252,2915,2,1457.5,1.0
move_Class_from_Domain,3,1285,100,13,24.01262,2891,2,1445.5,1.0
move_Class_from_Domain,3,1285,100,13,24.412106,2899,2,1449.5,1.0
move_Class_from_Domain,4,2569,20,13,66.603354,5861,2,2930.5,1.0
move_Class_from_Domain,4,2569,20,13,63.548021,5877,2,2938.5,1.0
move_Class_from_Domain,4,2569,40,13,62.647984,5850,2,2925.0,1.0
move_Class_from_Domain,4,2569,40,13,61.878945,5866,2,2933.0,1.0
move_Class_from_Domain,4,2569,60,13,64.68527,5840,2,2920.0,1.0
move_Class_from_Domain,4,2569,60,13,63.297851,5856,2,2928.0,1.0
move_Class_from_Domain,4,2569,80,13,64.297641,5850,2,2925.0,1.0
move_Class_from_Domain,4,2569,80,13,61.653114,5866,2,2933.0,1.0
move_Class_from_Domain,1,322,40,13,6.476099,684,2,342.0,1.0
move_Class_from_Domain,1,322,40,13,6.465333,680,2,340.0,1.0
move_Class_from_Domain,4,2569,100,13,66.719969,5839,2,2919.5,1.0
move_Class_from_Domain,4,2569,100,13,60.835613,5855,2,2927.5,1.0
move_Class_from_Domain,1,322,60,13,6.570844,683,2,341.5,1.0
move_Class_from_Domain,1,322,60,13,6.489775,677,2,338.5,1.0
move_Class_from_Domain,1,322,80,13,6.80694,684,2,342.0,1.0
move_Class_from_Domain,1,322,80,13,6.463523,678,2,339.0,1.0
move_Class_from_Domain,1,322,100,13,6.641118,677,2,338.5,1.0
move_Class_from_Domain,1,322,100,13,6.418346,673,2,336.5,1.0
move_Class_from_Domain,2,643,20,13,11.358498,1464,2,732.0,1.0
move_Class_from_Domain,2,643,20,13,11.144475,1468,2,734.0,1.0
move_Class_from_Domain,2,643,40,13,11.023508,1460,2,730.0,1.0
move_Class_from_Domain,2,643,40,13,11.11473,1464,2,732.0,1.0
move_Class_from_Domain,2,643,60,13,11.298381,1462,2,731.0,1.0
move_Class_from_Domain,2,643,60,13,10.715603,1466,2,733.0,1.0
move_Class_from_Domain,2,643,80,13,11.284298,1451,2,725.5,1.0
move_Class_from_Domain,2,643,80,13,10.891121,1455,2,727.5,1.0
move_Comment_from_Model,1,322,20,13,6.558164,685,2,342.5,1.0
move__Comment_from_Model,1,322,20,13,6.370696,685,2,342.5,1.0
move_Comment_from_Model,2,643,100,13,11.997553,1449,2,724.5,1.0
move__Comment_from_Model,2,643,100,13,10.86006,1449,2,724.5,1.0
move_Comment_from_Model,3,1285,20,13,26.714977,2922,2,1461.0,1.0
move__Comment_from_Model,3,1285,20,13,24.353657,2922,2,1461.0,1.0
move_Comment_from_Model,3,1285,40,13,24.18799,2923,2,1461.5,1.0
move__Comment_from_Model,3,1285,40,13,24.476773,2923,2,1461.5,1.0
move_Comment_from_Model,3,1285,60,13,25.066675,2909,2,1454.5,1.0
move__Comment_from_Model,3,1285,60,13,23.696065,2910,2,1455.0,1.0
move_Comment_from_Model,3,1285,80,13,23.510237,2905,2,1452.5,1.0
move__Comment_from_Model,3,1285,80,13,24.937732,2905,2,1452.5,1.0
move_Comment_from_Model,3,1285,100,13,24.567376,2889,2,1444.5,1.0
move__Comment_from_Model,3,1285,100,13,25.059719,2889,2,1444.5,1.0
move_Comment_from_Model,4,2569,20,13,65.745426,5859,2,2929.5,1.0
move__Comment_from_Model,4,2569,20,13,63.995135,5859,2,2929.5,1.0
move_Comment_from_Model,4,2569,40,13,63.34166,5848,2,2924.0,1.0
move__Comment_from_Model,4,2569,40,13,62.97187,5848,2,2924.0,1.0
move_Comment_from_Model,4,2569,60,13,64.669206,5838,2,2919.0,1.0
move__Comment_from_Model,4,2569,60,13,63.014105,5838,2,2919.0,1.0
move_Comment_from_Model,4,2569,80,13,64.745128,5848,2,2924.0,1.0
move__Comment_from_Model,4,2569,80,13,60.91737,5848,2,2924.0,1.0
move_Comment_from_Model,1,322,40,13,6.608314,682,2,341.0,1.0
move__Comment_from_Model,1,322,40,13,6.190063,682,2,341.0,1.0
move_Comment_from_Model,4,2569,100,13,62.647237,5837,2,2918.5,1.0
move__Comment_from_Model,4,2569,100,13,60.73259,5837,2,2918.5,1.0
move_Comment_from_Model,1,322,60,13,6.685733,681,2,340.5,1.0
move__Comment_from_Model,1,322,60,13,6.505764,681,2,340.5,1.0
move_Comment_from_Model,1,322,80,13,6.332874,682,2,341.0,1.0
move__Comment_from_Model,1,322,80,13,8.094273,682,2,341.0,1.0
move_Comment_from_Model,1,322,100,13,6.552306,675,2,337.5,1.0
move__Comment_from_Model,1,322,100,13,6.693898,675,2,337.5,1.0
move_Comment_from_Model,2,643,20,13,11.107354,1462,2,731.0,1.0
move__Comment_from_Model,2,643,20,13,11.582224,1462,2,731.0,1.0
move_Comment_from_Model,2,643,40,13,11.257715,1458,2,729.0,1.0
move__Comment_from_Model,2,643,40,13,10.655824,1458,2,729.0,1.0
move_Comment_from_Model,2,643,60,13,11.770492,1460,2,730.0,1.0
move__Comment_from_Model,2,643,60,13,11.206595,1460,2,730.0,1.0
move_Comment_from_Model,2,643,80,13,11.677438,1449,2,724.5,1.0
move__Comment_from_Model,2,643,80,13,11.397148,1449,2,724.5,1.0
