Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
modify_Comment_in_Model,4,2569,100,13,167.71267999999998,16019,102,157.04901960784315,1.0
modify_Comment_in_Model,1,322,60,13,14.284713,2924,62,47.16129032258065,1.0
modify_Comment_in_Model,1,322,80,13,13.753539,3012,82,36.73170731707317,1.0
modify_Comment_in_Model,1,322,100,13,14.10218,3015,102,29.558823529411764,1.0
modify_Comment_in_Model,2,643,20,13,23.484541999999998,3563,22,161.95454545454547,1.0
modify_Comment_in_Model,2,643,40,13,24.175131999999998,4370,42,104.04761904761905,1.0
modify_Comment_in_Model,2,643,60,13,25.579957,5030,62,81.12903225806451,1.0
modify_Comment_in_Model,2,643,80,13,26.553628,5659,82,69.01219512195122,1.0
move_Transition_from_Region,1,322,20,13,13.852694,2128,22,96.72727272727273,1.0
move_Transition_from_Region,2,643,100,13,28.451959000000002,22237,102,218.00980392156862,1.0
move_Transition_from_Region,3,1285,20,13,55.876763,6578,22,299.0,1.0
move_Transition_from_Region,3,1285,40,13,58.401992,7636,42,181.8095238095238,1.0
move_Transition_from_Region,3,1285,60,13,61.526397,8587,62,138.5,1.0
move_Transition_from_Region,3,1285,80,13,64.744203,9353,82,114.0609756097561,1.0
move_Transition_from_Region,3,1285,100,13,69.514096,10093,102,98.95098039215686,1.0
move_Transition_from_Region,4,2569,20,13,144.381103,12347,22,561.2272727272727,1.0
move_Transition_from_Region,4,2569,40,13,153.623317,13386,42,318.7142857142857,1.0
move_Transition_from_Region,4,2569,60,13,161.293586,14431,62,232.75806451612902,1.0
move_Transition_from_Region,4,2569,80,13,169.67414000000002,15485,82,188.84146341463415,1.0
move_Transition_from_Region,1,322,40,13,14.27934,2888,42,68.76190476190476,1.0
move_Transition_from_Region,4,2569,100,13,172.820029,16412,102,160.90196078431373,1.0
move_Transition_from_Region,1,322,60,13,14.366003,9347,62,150.75806451612902,1.0
move_Transition_from_Region,1,322,80,13,14.27469,9196,82,112.14634146341463,1.0
move_Transition_from_Region,1,322,100,13,15.189785,9772,102,95.80392156862744,1.0
move_Transition_from_Region,2,643,20,13,25.65156,3676,22,167.0909090909091,1.0
move_Transition_from_Region,2,643,40,13,24.96477,4499,42,107.11904761904762,1.0
move_Transition_from_Region,2,643,60,13,27.002519,5165,62,83.30645161290323,1.0
move_Transition_from_Region,2,643,80,13,28.496211,5860,82,71.46341463414635,1.0
move_Domain_from_Model,1,322,20,13,13.427476,1214,22,55.18181818181818,1.0
move_Domain_from_Model,2,643,100,13,26.459446,5983,102,58.65686274509804,1.0
move_Domain_from_Model,3,1285,20,13,54.170676,6450,22,293.1818181818182,1.0
move_Domain_from_Model,3,1285,40,13,57.552934,7480,42,178.0952380952381,1.0
move_Domain_from_Model,3,1285,60,13,57.642632000000006,8403,62,135.53225806451613,1.0
move_Domain_from_Model,3,1285,80,13,64.49753,9085,82,110.79268292682927,1.0
move_Domain_from_Model,3,1285,100,13,61.067925,9809,102,96.16666666666667,1.0
move_Domain_from_Model,4,2569,20,13,147.04691,12153,22,552.4090909090909,1.0
move_Domain_from_Model,4,2569,40,13,147.247254,13170,42,313.57142857142856,1.0
move_Domain_from_Model,4,2569,60,13,158.575031,14144,62,228.1290322580645,1.0
move_Domain_from_Model,4,2569,80,13,162.859207,15150,82,184.7560975609756,1.0
move_Domain_from_Model,1,322,40,13,13.121110999999999,1495,42,35.595238095238095,1.0
move_Domain_from_Model,4,2569,100,13,166.35421,16019,102,157.04901960784315,1.0
move_Domain_from_Model,1,322,60,13,13.703803,1840,62,29.677419354838708,1.0
move_Domain_from_Model,1,322,80,13,13.327628,1876,82,22.878048780487806,1.0
move_Domain_from_Model,1,322,100,13,13.621880999999998,1933,102,18.95098039215686,1.0
move_Domain_from_Model,2,643,20,13,24.299962999999998,3563,22,161.95454545454547,1.0
move_Domain_from_Model,2,643,40,13,24.018799,4371,42,104.07142857142857,1.0
move_Domain_from_Model,2,643,60,13,25.537303,5030,62,81.12903225806451,1.0
move_Domain_from_Model,2,643,80,13,26.566772999999998,5661,82,69.03658536585365,1.0
move_Class_from_Domain,1,322,20,13,13.770263,2043,22,92.86363636363636,1.0
move_Class_from_Domain,2,643,100,13,26.841609,5992,102,58.745098039215684,1.0
move_Class_from_Domain,3,1285,20,13,59.932036,6463,22,293.77272727272725,1.0
move_Class_from_Domain,3,1285,40,13,57.26162,7493,42,178.4047619047619,1.0
move_Class_from_Domain,3,1285,60,13,56.377590999999995,8416,62,135.74193548387098,1.0
move_Class_from_Domain,3,1285,80,13,65.657112,9098,82,110.95121951219512,1.0
move_Class_from_Domain,3,1285,100,13,64.068125,9820,102,96.27450980392157,1.0
move_Class_from_Domain,4,2569,20,13,142.777524,12174,22,553.3636363636364,1.0
move_Class_from_Domain,4,2569,40,13,153.37019400000003,13191,42,314.07142857142856,1.0
move_Class_from_Domain,4,2569,60,13,161.106812,14165,62,228.46774193548387,1.0
move_Class_from_Domain,4,2569,80,13,167.417301,15171,82,185.0121951219512,1.0
move_Class_from_Domain,1,322,40,13,13.475287999999999,2660,42,63.333333333333336,1.0
move_Class_from_Domain,4,2569,100,13,171.815282,16040,102,157.2549019607843,1.0
move_Class_from_Domain,1,322,60,13,14.549383,2895,62,46.693548387096776,1.0
move_Class_from_Domain,1,322,80,13,14.107126,2983,82,36.3780487804878,1.0
move_Class_from_Domain,1,322,100,13,14.286728,3000,102,29.41176470588235,1.0
